model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
briaire_05,1,4946,724.853515625,5.0,200
briaire_05,2,4946,724.853515625,10.0,200
briaire_05,4,4946,724.853515625,20.0,200
briaire_05,1,279,724.853515625,0.4,3000
briaire_05,1,279,724.853515625,0.5,3000
briaire_05,3,279,724.853515625,1.0,3000
briaire_05,6,279,724.853515625,2.0,3000
briaire_05,15,279,724.853515625,5.0,3000
briaire_05,30,279,724.853515625,10.0,3000
briaire_05,60,279,724.853515625,20.0,3000
briaire_05,1,46,724.853515625,0.1,10000
briaire_05,2,46,717.2119140624999,0.2,10000
briaire_05,4,46,716.8182373046874,0.4,10000
briaire_05,5,46,716.815185546875,0.5,10000
briaire_05,10,46,716.815185546875,1.0,10000
briaire_05,20,46,716.815185546875,2.0,10000
briaire_05,50,46,716.815185546875,5.0,10000
briaire_05,100,46,716.815185546875,10.0,10000
briaire_05,200,46,716.815185546875,20.0,10000
frijns_94,1,4946,176.80053710937506,5.0,200
frijns_94,2,4946,176.80053710937506,10.0,200
frijns_94,4,4946,176.80053710937506,20.0,200
frijns_94,1,279,176.80053710937506,0.4,3000
frijns_94,1,279,176.80053710937506,0.5,3000
frijns_94,3,279,176.80053710937506,1.0,3000
frijns_94,6,279,176.80053710937506,2.0,3000
frijns_94,15,279,176.80053710937506,5.0,3000
frijns_94,30,279,176.80053710937506,10.0,3000
frijns_94,60,279,176.80053710937506,20.0,3000
frijns_94,1,46,176.80053710937506,0.1,10000
frijns_94,2,46,174.26757812500006,0.2,10000
frijns_94,4,46,174.04174804687503,0.4,10000
frijns_94,5,46,174.04174804687503,0.5,10000
frijns_94,10,46,174.04174804687503,1.0,10000
frijns_94,20,46,174.04174804687503,2.0,10000
frijns_94,50,46,174.04174804687503,5.0,10000
frijns_94,100,46,174.04174804687503,10.0,10000
frijns_94,200,46,174.04174804687503,20.0,10000
imennov_09,1,4946,53.07006835937499,5.0,200
imennov_09,2,4946,53.07006835937499,10.0,200
imennov_09,4,4946,53.07006835937499,20.0,200
imennov_09,1,279,53.07006835937499,0.4,3000
imennov_09,1,279,53.07006835937499,0.5,3000
imennov_09,3,279,49.63989257812499,1.0,3000
imennov_09,6,279,49.26147460937499,2.0,3000
imennov_09,15,279,49.25842285156249,5.0,3000
imennov_09,30,279,49.25842285156249,10.0,3000
imennov_09,60,279,49.25842285156249,20.0,3000
imennov_09,1,46,53.07006835937499,0.1,10000
imennov_09,2,46,45.013427734375,0.2,10000
imennov_09,4,46,39.19982910156251,0.4,10000
imennov_09,5,46,37.8387451171875,0.5,10000
imennov_09,10,46,35.174560546875,1.0,10000
imennov_09,20,46,34.4818115234375,2.0,10000
imennov_09,50,46,34.466552734375,5.0,10000
imennov_09,100,46,34.466552734375,10.0,10000
imennov_09,200,46,34.466552734375,20.0,10000
negm_14,3,279,996.30126953125,1.0,3000
negm_14,6,279,996.2890625,2.0,3000
negm_14,15,279,996.2890625,5.0,3000
negm_14,30,279,996.2890625,10.0,3000
negm_14,60,279,996.2890625,20.0,3000
negm_14,2,46,920.7824707031251,0.2,10000
negm_14,4,46,866.8487548828124,0.4,10000
negm_14,5,46,857.3181152343751,0.5,10000
negm_14,10,46,846.8078613281251,1.0,10000
negm_14,20,46,846.868896484375,2.0,10000
negm_14,50,46,846.868896484375,5.0,10000
negm_14,100,46,846.868896484375,10.0,10000
negm_14,200,46,846.868896484375,20.0,10000
rattay_01,1,4946,944.9371337890625,5.0,200
rattay_01,2,4946,944.9371337890625,10.0,200
rattay_01,4,4946,944.9371337890625,20.0,200
rattay_01,1,279,944.9371337890625,0.4,3000
rattay_01,1,279,944.9371337890625,0.5,3000
rattay_01,3,279,942.3675537109374,1.0,3000
rattay_01,6,279,948.0010986328126,2.0,3000
rattay_01,15,279,948.0010986328126,5.0,3000
rattay_01,30,279,948.0010986328126,10.0,3000
rattay_01,60,279,948.0010986328126,20.0,3000
rattay_01,1,46,944.9371337890625,0.1,10000
rattay_01,2,46,875.5828857421876,0.2,10000
rattay_01,4,46,802.4475097656251,0.4,10000
rattay_01,5,46,811.1602783203124,0.5,10000
rattay_01,10,46,847.9156494140626,1.0,10000
rattay_01,20,46,847.9156494140626,2.0,10000
rattay_01,50,46,847.9156494140626,5.0,10000
rattay_01,100,46,847.9156494140626,10.0,10000
rattay_01,200,46,847.9156494140626,20.0,10000
smit_09,1,4946,471.91162109375,5.0,200
smit_09,2,4946,471.91162109375,10.0,200
smit_09,4,4946,471.91162109375,20.0,200
smit_09,1,279,471.91162109375,0.4,3000
smit_09,1,279,471.91162109375,0.5,3000
smit_09,3,279,471.78344726562494,1.0,3000
smit_09,6,279,471.78344726562494,2.0,3000
smit_09,15,279,471.78344726562494,5.0,3000
smit_09,30,279,471.78344726562494,10.0,3000
smit_09,60,279,471.78344726562494,20.0,3000
smit_09,1,46,471.91162109375,0.1,10000
smit_09,2,46,388.28735351562506,0.2,10000
smit_09,4,46,354.119873046875,0.4,10000
smit_09,5,46,350.65612792968756,0.5,10000
smit_09,10,46,349.554443359375,1.0,10000
smit_09,20,46,349.58801269531256,2.0,10000
smit_09,50,46,349.58801269531256,5.0,10000
smit_09,100,46,349.58801269531256,10.0,10000
smit_09,200,46,349.58801269531256,20.0,10000
smit_10,1,4946,664.385986328125,5.0,200
smit_10,2,4946,664.385986328125,10.0,200
smit_10,4,4946,664.385986328125,20.0,200
smit_10,1,279,664.385986328125,0.4,3000
smit_10,1,279,664.385986328125,0.5,3000
smit_10,3,279,668.8415527343751,1.0,3000
smit_10,6,279,668.8415527343751,2.0,3000
smit_10,15,279,668.8415527343751,5.0,3000
smit_10,30,279,668.8415527343751,10.0,3000
smit_10,60,279,668.8415527343751,20.0,3000
smit_10,1,46,664.385986328125,0.1,10000
smit_10,2,46,569.1314697265625,0.2,10000
smit_10,4,46,710.3759765625,0.4,10000
smit_10,5,46,706.4239501953126,0.5,10000
smit_10,10,46,705.9326171875001,1.0,10000
smit_10,20,46,705.9326171875001,2.0,10000
smit_10,50,46,705.9326171875001,5.0,10000
smit_10,100,46,705.9326171875001,10.0,10000
smit_10,200,46,705.9326171875001,20.0,10000
